frame_number,horse_number,horse_id,sex_and_age,burden_weight,rider_id,tamer_id,horse_weight,race_id,is_senba,is_mesu,is_osu,horse_weight_dif
1,1,2020102890,3,54.0,1178,1173,410,202309011011,0,1,0,4
1,2,2020103530,3,54.0,1015,1079,470,202309011011,0,1,0,-10
2,3,2020100236,3,54.0,1193,1078,466,202309011011,0,1,0,-2
2,4,2020100686,3,54.0,1030,1161,432,202309011011,0,1,0,-5
3,5,2020104496,3,54.0,1128,1157,456,202309011011,0,1,0,0
3,6,2020101678,3,54.0,1077,1118,434,202309011011,0,1,0,4
4,7,2020103076,3,54.0,1093,1026,472,202309011011,0,1,0,-6
4,8,2020110137,3,54.0,1032,427,500,202309011011,0,1,0,-8
5,9,2020100909,3,54.0,1168,1173,446,202309011011,0,1,0,-4
5,10,2020101590,3,54.0,1043,1051,456,202309011011,0,1,0,-8
6,11,2020104194,3,54.0,1116,1110,476,202309011011,0,1,0,-4
6,12,2020102660,3,54.0,1095,1117,436,202309011011,0,1,0,-4
7,13,2020103589,3,54.0,1157,1144,494,202309011011,0,1,0,12
7,14,2020104126,3,54.0,1144,1066,428,202309011011,0,1,0,-4
7,15,2020102564,3,54.0,1102,1168,464,202309011011,0,1,0,-6
8,16,2020100997,3,54.0,1125,1140,448,202309011011,0,1,0,-10
8,17,2020104791,3,54.0,1199,1170,444,202309011011,0,1,0,-2
8,18,2020103735,3,54.0,666,1160,426,202309011011,0,1,0,-4
