horse_id,bday,tame_id,owner_id,producer_id,production_area,auction_price,winnings,lifetime_record,wined_race_title,inbreeding-1,inbreeding-2,father,faths_father,faths_mother,mother,moths_father,moths_mother
2016100915,2016年4月7日,01142,005803,400317,新冠町,"1,242万円 (2017年 北海道セレクションセール)
","


2億3,049万円 (中央)

",24戦4勝 [4-4-1-15],202008010711,2014100870,2020106012,2009105084,2002100816,000a0106a6,000a012062,000a010cdf,000a01203c
2016104851,2016年4月4日,01151,506800,owner.netkeiba.com,ノーザンファーム,安平町,"
-
","


1億9,568万円 (中央)

",2016104851,202310020411,,000a011996,000a010a5f,000a011903,2008103336,2002100816,000a006850
2016104877,2016年1月22日,01070,044008,373126,安平町,"1億476万円 (2016年 セレクトセール)
","


3億7,139万円 (中央)

",16戦7勝 [7-5-0-4],202106020211,2013106138,2012104901,2001103038,000a00033a,1990104626,000a011abb,000a010bae,000a011a3f
2017105376,2017年2月4日,01061,708800,373126,安平町,"2億520万円 (2018年 セレクトセール)
","


3億6,282万円 (中央)

",20戦6勝 [6-4-2-8],202209020411,2012104669,2013105933,2002100816,000a00033a,000a0003a2,000a0117a0,000a0021cb,000a01170e
2017105567,2017年2月8日,01071,226800,owner.netkeiba.com,ノーザンファーム,安平町,"
-
","


3億7,804万円 (中央)

",2017105567,202307010611,,2004102753,1994108729,1997103540,000a011190,000a001f0b,000a0110e8
2018100274,2018年4月8日,01062,427030,560543,日高町,"3,456万円 (2019年 北海道セレクションセール)
","


2億6,864万円 (中央)

",13戦7勝 [7-2-0-4],202201020411,2019101507,2014102218,2011100655,2004103328,2001102948,000a011426,000a002071,000a00ae50
2018100420,2018年4月4日,01058,072803,913124,日高町,"
-
","


1億1,984万円 (中央)

",23戦4勝 [4-9-2-8],202306020809,2017100404,2020101587,2002100816,000a00033a,000a0003a2,000a012950,000a0022e1,000a012850
2018100927,2018年4月6日,01101,708800,803320,日高町,"
-
","


1億5,370万円 (中央)

",18戦5勝 [5-4-3-6],202210040211,2019102071,2020102050,1998110135,000a00013a,000a000071,2012104864,2002100816,2006103348
2018102348,2018年1月24日,01145,149002,400317,新冠町,"3,456万円 (2019年 北海道セレクションセール)
","


1億7,391万円 (中央)

",12戦6勝 [6-0-1-5],202306010811,2020105998,2017102163,2011100655,2004103328,2001102948,2010106120,2003102991,1998100880
2018104963,2018年1月29日,00438,619800,373126,安平町,"1億800万円 (2018年 セレクトセール)
","


2億6,812万円 (中央)

",14戦3勝 [3-2-4-5],202006050711,2016104435,2017105248,2009106461,2001103038,1999106889,000a011dce,000a010a5f,000a011d6c
2018105074,2018年1月31日,01129,872800,373126,安平町,"
-
","


1億85万円 (中央)

",11戦3勝 [3-1-1-6],202105020311,2019105240,2020103415,2007103143,2001103460,1993109154,2012104763,2002100816,000a011522
2018105081,2018年5月12日,01151,226800,owner.netkeiba.com,ノーザンファーム,安平町,"
-
","


3億9,944万円 (中央)

",2018105081,202209050411,,2011100655,2004103328,2001102948,2009106253,2002100816,000a010eb8
2019101782,2019年2月25日,00420,379008,541543,日高町,"1,870万円 (2020年 北海道セレクションセール)
","


1億4,972万円 (中央)

",11戦5勝 [5-1-1-4],202306010111,2020101712,,2011100655,2004103328,2001102948,2014104055,1998190004,2007101072
2019102879,2019年4月22日,01044,534006,443058,新ひだか町,"
-
","


1億2,038万円 (中央)

",10戦3勝 [3-2-0-5],202207011211,2009101399,2015102264,2001103038,000a00033a,1990104626,2002101038,000a000082,000a0001cc
2019104740,2019年2月27日,01118,415800,owner.netkeiba.com,社台ファーム,千歳市,"
-
","


3億9,498万円 (中央)

",2019104740,202205021011,,2012104511,2001103460,2000107542,000a013892,000a00211c,000a0124bf
2019105155,2019年1月27日,01151,486800,owner.netkeiba.com,ノーザンファーム,安平町,"
-
","


1億3,351万円 (中央)

",2019105155,202106050911,,2002100816,000a00033a,000a0003a2,000a01205f,000a011591,000a012028
