race_id,frame_number,horse_number,horse_id,sex_and_age,burden_weight,rider_id,tamer_id,owner_idhorse_weight,odds,popular,horse_name,age,sex
202307020611,1,1,2015104364,0,58.0,1091,1135,"
484(-12)
",---.-,"
**
","


トゥラヴェスーラ


",8,0
202307020611,1,2,2019102788,1,56.0,1095,1160,"
470(-16)
",---.-,"
**
","


ウォーターナビレラ


",4,1
202307020611,2,3,2015101028,2,58.0,1018,1027,"
502(-6)
",---.-,"
**
","


キルロード


",8,2
202307020611,2,4,2018105610,0,58.0,1019,1120,"
512(-2)
",---.-,"
**
","


ダディーズビビッド


",5,0
202307020611,3,5,2018105069,1,56.0,1032,1161,"
486(+9)
",---.-,"
**
","


メイケイエール


",5,1
202307020611,3,6,2016106453,0,58.0,1117,420,"
492(-6)
",---.-,"
**
","


ナランフレグ


",7,0
202307020611,4,7,2017100434,0,58.0,1171,1113,"
520(+6)
",---.-,"
**
","


ヴェントヴォーチェ


",6,0
202307020611,4,8,2017110144,1,56.0,5203,1183,"
484(+6)
",---.-,"
**
","


ロータスランド


",6,1
202307020611,5,9,2017100583,0,58.0,1191,427,"
478(+6)
",---.-,"
**
","


ディヴィナシオン


",6,0
202307020611,5,10,2017100381,1,56.0,1169,1064,"
476(-10)
",---.-,"
**
","


オパールシャルム


",6,1
202307020611,6,11,2018105204,0,58.0,5386,1002,"
530(+2)
",---.-,"
**
","


ピクシーナイト


",5,0
202307020611,6,12,2019105126,0,58.0,1140,438,"
492(-4)
",---.-,"
**
","


アグリ


",4,0
202307020611,7,13,2016102197,0,58.0,1180,1148,"
518(-8)
",---.-,"
**
","


ファストフォース


",7,0
202307020611,7,14,2019106526,0,58.0,1157,1118,"
462(-4)
",---.-,"
**
","


トウシンマカオ


",4,0
202307020611,7,15,2019103753,1,56.0,1115,1173,"
466(-6)
",---.-,"
**
","


ナムラクレア


",4,1
202307020611,8,16,2018104934,0,58.0,1174,1137,"
468(-6)
",---.-,"
**
","


グレナディアガーズ


",5,0
202307020611,8,17,2017101121,1,56.0,1128,1084,"
436(-10)
",---.-,"
**
","


ボンボヤージ


",6,1
202307020611,8,18,2019100213,0,58.0,1126,1174,"
474(-6)
",---.-,"
**
","


ウインマーベル


",4,0
